Timestamp,Koľko rokov programujete profesionálne (akýkoľvek jazyk),Ku ktorej z uvedených rol mate najbližšie?,"Aký je primárny jazyk, ktorý používate najviac?",Aký ďalší jazyk sa v blízkej dobe chcete alebo chceli by ste sa naučiť?,Aký je váš vzťah ku Go,"Ako dlho použivate Go? (v práci, hobby projekt, učenie sa)",V Go programujete,"Odporučili by ste Go priateľom, kolegom?",Cítite sa v Go produktívny?,Bonusovka: Patria podľa vás generika do Go?
4/21/2021 14:24:39,10 rokov a viac,DevOps/Cloud,Go,Rust,používam Go v práci na hlavnom projekte,2 - 5 rokov,"CLI nástroje, WebService aplikácie",5,5,
4/21/2021 14:36:32,3 - 6 rokov,Vývoj mobilných aplikácii,Java/Kotlin/Scala,Žiaden,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,1,1,Ano :-)
4/21/2021 14:38:57,3 - 6 rokov,Quality Assurance,Java/Kotlin/Scala,Žiaden,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,,2,,
4/21/2021 14:40:49,3 - 6 rokov,Vývoj mobilných aplikácii,Java/Kotlin/Scala,Žiaden,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,1,1,Ano :-)
4/21/2021 14:42:03,6 - 10 rokov,Testing,Java/Kotlin/Scala,Žiaden,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,3,3,Ano :-)
4/21/2021 15:38:20,Menej ako 3 roky,Testing,Java/Kotlin/Scala,Žiaden,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,3,3,Ano :-)
4/21/2021 17:59:06,3 - 6 rokov,Fullstack programátor,Java/Kotlin/Scala,Go,Go sa učím alebo sa chcem naučiť,Menej ako 3 mesiace,WebService aplikácie,4,2,Ano :-)
4/21/2021 18:59:14,10 rokov a viac,DevOps/Cloud,Java/Kotlin/Scala,Python,Go sa učím alebo sa chcem naučiť,Ešte som v Go nerobil,V Go neprogramujem,3,3,Ano :-)
4/22/2021 2:43:02,6 - 10 rokov,Návrh IT systémov a architektúra,Java/Kotlin/Scala,Rust,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,3,1,Ano :-)
4/22/2021 8:07:17,10 rokov a viac,Vývoj mobilných aplikácii,Swift/Objective C a C/C++,Rust,Go ma nezaujíma,Menej ako 3 mesiace,V Go neprogramujem,3,1,Ano :-)
4/22/2021 9:14:09,Menej ako 3 roky,Fullstack programátor,Dart,Go,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,3,3,
4/22/2021 9:29:15,3 - 6 rokov,Testing,Java/Kotlin/Scala,Dart,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,3,,
